EmployeeID,Age,Gender,MaritalStatus,Education,LevelBand,LevelBandNum,Department,Location,ShiftType,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsSinceLastPromo,PromotionsLast3Yrs,Salary_Annual,MarketRateRatio,HikePercentLast,BonusPct,ManagerRating,TeamSize,DistanceFromHome,JobSatisfaction,EnvSatisfaction,RelationshipSat,WorkLifeBalance,AvgSatisfaction,PerformanceRating,AwardsReceived,RecognitionsReceived,TrainingLastYear,Leaves_30d,Leaves_90d,Leaves_180d,Leaves_365d,SickLeave_Annual,OverTime,BusinessTravel,NumCompaniesWorked,WFH_DaysPerWeek,AttritionProb_True,AttritionBinary,Attrition,IsUnderpaid,IsSeverelyUnderpaid,PayGapPct,StagnationIndex,RecognitionGap,LeaveSpike30,LeaveSpike90,LeaveVelocity,SatComposite,SatBelow2,OT_LowSat,WFH_SatInteraction,TravelDistance,IsNewJoiner,IsVeteran,CompanyLoyaltyScore,IsJobHopper,IsDisruptiveShift,IsFullWFH,IsMarried,CompositeRiskFlags,AttritionProb,RiskCategory
ML10010,44,Male,Single,Master,P2A,4,Engineering,Pune,Day,21,4,4,24,3,0,923498,0.736,0.4,3.4,3,4,34,3,3,1,4,2.75,3,1,1,6,1,2,9,9,3,Yes,Rare,0,0,0.5498,1,Yes,1,1,26.4,6,2,0,0,0.43,3.0,0,0,0,0,0,1,0.88,0,0,0,0,3,0.3887,High
ML10011,22,Female,Single,Master,P5,10,HR,Hyderabad,Day,5,2,0,1,1,1,3787445,1.079,7.3,11.3,1,4,21,2,2,4,2,2.5,4,0,4,4,1,5,16,16,5,Yes,Frequent,5,2,0.5046,1,Yes,0,0,-7.9,0,4,0,0,3.2,2.3,0,1,4,21,0,0,5.0,1,0,0,0,1,0.3552,High
ML10012,43,Male,Divorced,Bachelor,P3A,7,Engineering,Bengaluru,Rotational,3,2,2,22,3,1,1304552,0.547,15.4,11.3,3,9,21,4,3,4,4,3.75,3,1,2,1,0,6,6,25,5,Yes,Rare,5,0,0.5498,0,No,1,1,45.3,3,2,0,0,8.33,3.8,0,0,0,0,0,0,0.14,1,1,0,0,3,0.2855,Medium
ML10013,48,Male,Single,Master,P4,9,Operations,Bengaluru,Rotational,14,1,0,28,2,1,2314707,0.828,2.4,8.3,3,13,36,3,4,4,1,3.0,3,0,1,5,0,3,7,19,2,No,Frequent,5,1,0.4132,1,Yes,1,0,17.2,1,3,0,0,1.36,2.75,0,0,3,36,0,1,0.5,1,1,0,0,2,0.3536,High
ML10014,22,Male,Single,Bachelor,P2B,5,Engineering,WFH,Day,2,2,1,2,0,1,803888,0.61,10.9,8.3,3,15,10,3,4,4,1,3.0,4,0,0,1,1,5,5,16,1,Yes,Frequent,1,5,0.5498,0,No,1,1,39.0,0,4,0,0,8.0,2.75,0,0,15,10,0,0,1.0,0,0,1,0,2,0.4839,Critical
ML10015,42,Male,Married,Other,P1C,3,Sales,Bengaluru,Flexible,7,7,7,21,1,1,933670,1.096,12.0,15.4,4,19,33,3,4,3,2,3.0,2,1,0,2,1,2,5,14,3,No,None,3,0,0.0502,0,No,0,0,-9.6,0,1,0,0,2.0,2.9,0,0,0,0,0,0,0.33,0,0,0,1,0,0.0531,Low
ML10016,35,Male,Married,Bachelor,P2C,6,Finance,Pune,Day,1,0,0,14,1,2,1360190,0.777,6.6,20.9,5,20,47,2,3,3,3,2.75,3,2,0,6,2,2,11,17,2,Yes,Rare,4,2,0.4207,0,No,1,1,22.3,0,1,0,0,17.0,2.65,0,1,4,0,1,0,0.07,1,0,0,1,2,0.3448,High
ML10017,31,Male,Single,Bachelor,P1A,1,Finance,Chennai,Flexible,11,2,1,10,4,0,363446,0.639,4.7,16.6,2,22,15,3,4,3,4,3.5,3,1,0,5,1,1,11,12,4,Yes,Rare,4,0,0.5498,1,Yes,1,1,36.1,8,2,0,0,1.09,3.5,0,0,0,0,0,1,1.1,1,0,0,0,3,0.5046,Critical
ML10018,34,Female,Single,PhD,P4,9,Marketing,Bengaluru,Day,2,1,0,14,0,1,3185043,1.047,2.2,12.8,5,10,54,2,3,3,4,3.0,4,1,1,1,0,6,9,16,2,Yes,None,7,0,0.0926,0,No,0,0,-4.7,0,3,0,0,8.0,2.95,0,1,0,0,0,0,0.14,1,0,0,0,1,0.0936,Low
ML10019,37,Female,Married,Bachelor,P3A,7,Finance,Pune,Day,1,0,0,16,2,0,1664432,0.811,7.0,16.0,4,14,30,2,3,4,3,3.0,3,1,3,5,0,1,19,19,1,No,Rare,6,1,0.1207,0,No,1,0,18.9,4,2,0,0,19.0,2.8,0,0,2,0,1,0,0.06,1,0,0,1,1,0.2982,Medium
ML10020,43,Female,Divorced,Bachelor,P3B,8,QA,Bengaluru,Flexible,8,3,0,22,3,1,2285513,0.901,5.8,12.4,1,18,5,4,1,3,3,2.75,4,1,3,6,0,2,5,15,1,No,None,1,1,0.0532,0,No,0,0,9.9,3,3,0,0,1.88,2.95,0,0,4,0,0,0,0.36,0,0,0,0,0,0.1301,Low
ML10021,42,Female,Married,Diploma,P2A,4,Product,Mumbai,Flexible,0,0,0,21,5,0,893320,0.691,3.1,6.6,4,11,55,2,2,3,1,2.0,3,1,1,0,0,3,11,14,1,No,None,7,2,0.5498,0,No,1,1,30.9,10,2,0,0,14.0,1.85,0,0,4,0,1,0,0.0,1,0,0,1,2,0.6009,Critical
ML10022,22,Male,Married,PhD,P6,11,Product,Mumbai,Rotational,3,1,1,1,8,0,6095072,0.84,12.9,11.9,4,12,57,1,2,3,2,2.0,4,0,1,5,0,5,5,16,4,Yes,None,0,1,0.5498,1,Yes,1,0,16.0,16,4,0,0,5.33,1.8,0,1,1,0,0,0,3.0,0,1,0,1,4,0.5978,Critical
ML10023,28,Male,Single,Bachelor,P4,9,Marketing,WFH,Rotational,10,2,1,7,0,2,2569309,1.079,5.4,3.3,4,15,40,2,3,2,3,2.5,3,2,4,2,4,4,8,19,1,No,Rare,2,5,0.0502,0,No,0,0,-7.9,0,1,1,0,1.9,2.5,0,0,10,0,0,1,1.43,0,1,1,0,2,0.0753,Low
ML10024,34,Female,Married,Bachelor,P3B,8,Marketing,Bengaluru,Rotational,7,2,0,12,6,0,2001457,0.846,10.7,6.3,2,17,58,3,2,4,2,2.75,4,1,0,3,0,4,5,9,3,Yes,Rare,0,0,0.5498,1,Yes,1,0,15.4,12,3,0,0,1.29,2.65,0,0,0,0,0,0,0.58,0,1,0,1,4,0.5554,Critical
ML10025,46,Male,Married,Master,P1C,3,Marketing,Bengaluru,Rotational,2,1,0,26,3,0,678856,0.772,5.4,14.8,4,11,49,1,3,3,3,2.5,3,1,2,4,1,6,7,17,0,No,Frequent,4,2,0.5498,1,Yes,1,1,22.8,6,2,0,0,8.5,2.3,0,0,2,49,0,0,0.08,1,1,0,1,3,0.4786,Critical
ML10026,22,Male,Married,Master,P2B,5,Finance,WFH,Day,6,3,1,0,0,2,1052920,0.848,11.0,9.1,3,14,9,3,3,4,4,3.5,3,1,1,6,0,7,8,14,3,No,None,3,5,0.0502,0,No,1,0,15.2,0,2,0,0,2.33,3.45,0,0,15,0,0,0,6.0,0,0,1,1,1,0.0667,Low
ML10027,29,Male,Married,Bachelor,P1A,1,Sales,Bengaluru,Day,12,11,1,7,11,0,374278,0.714,9.7,5.9,5,11,2,3,4,2,2,2.75,3,2,2,1,0,1,7,18,2,No,Rare,0,0,0.1818,0,No,1,1,28.6,20,1,0,0,1.5,2.75,0,0,0,0,0,1,1.71,0,0,0,1,2,0.227,Medium
ML10028,22,Female,Single,Bachelor,P1B,2,Marketing,Delhi,Rotational,2,0,0,0,2,0,427514,0.628,13.1,7.0,5,22,16,3,3,3,3,3.0,4,0,0,0,3,6,12,13,2,No,Rare,7,0,0.5498,0,No,1,1,37.2,4,4,1,0,6.5,3.0,0,0,0,0,0,0,2.0,1,1,0,0,3,0.432,High
ML10029,23,Male,Single,PhD,P3A,7,Engineering,Pune,Night,2,2,0,3,2,1,1939951,0.891,2.5,3.9,3,4,48,4,3,4,3,3.5,2,2,0,4,1,1,6,16,0,Yes,Rare,7,3,0.3854,0,No,1,0,10.9,1,0,0,0,8.0,3.5,0,0,12,0,0,0,0.67,1,1,0,0,3,0.4008,High
ML10030,41,Male,Married,Bachelor,P3B,8,Engineering,Hyderabad,Flexible,0,0,0,21,4,0,2442479,0.908,5.9,11.6,5,22,39,2,3,2,3,2.5,3,0,2,6,3,3,6,19,1,No,Frequent,6,0,0.4762,0,No,0,0,9.2,8,3,1,0,19.0,2.5,0,0,0,39,1,0,0.0,1,0,0,1,2,0.3964,High
ML10031,29,Male,Single,PhD,P6,11,Product,Chennai,Day,0,0,0,8,0,1,4861085,0.78,12.6,7.9,4,18,47,1,4,3,1,2.25,3,2,1,2,0,5,5,10,2,Yes,None,5,2,0.4197,1,Yes,1,1,22.0,0,1,0,0,10.0,1.9,0,1,2,0,1,0,0.0,1,0,0,0,2,0.3874,High
ML10032,22,Female,Married,Bachelor,P2A,4,Engineering,Pune,Day,11,3,2,0,5,0,649834,0.518,6.3,8.8,4,7,17,2,4,2,3,2.75,3,0,2,5,1,4,8,14,2,Yes,Rare,2,3,0.5498,1,Yes,1,1,48.2,10,3,0,0,1.27,2.7,0,1,6,0,0,1,11.0,0,0,0,1,3,0.5653,Critical
ML10033,32,Male,Married,Master,P2A,4,HR,Bengaluru,Day,6,2,0,10,1,2,1067025,1.076,7.3,12.1,5,16,40,4,3,2,3,3.0,2,0,2,6,4,4,5,7,2,No,Rare,4,2,0.0502,0,No,0,0,-7.6,0,2,1,0,1.17,3.2,0,0,8,0,0,0,0.6,1,0,0,1,1,0.0441,Low
ML10034,50,Female,Single,Master,P2B,5,Marketing,WFH,Flexible,2,1,0,29,3,0,1148752,1.085,11.1,11.7,1,13,59,3,2,2,2,2.25,2,0,0,2,1,4,6,12,3,No,None,3,5,0.0993,0,No,0,0,-8.5,6,2,0,0,6.0,2.35,0,0,15,0,0,0,0.07,0,0,1,0,1,0.1849,Medium
ML10035,22,Male,Married,Bachelor,P1B,2,Engineering,WFH,Day,7,6,6,2,1,1,569672,0.837,7.7,4.1,2,19,43,4,4,3,3,3.5,3,1,2,5,0,3,5,10,1,Yes,Frequent,4,5,0.3895,1,Yes,1,0,16.3,0,2,0,0,1.43,3.55,0,0,20,43,0,0,3.5,1,0,1,1,2,0.2934,Medium
ML10036,38,Male,Married,Master,P1B,2,Product,Delhi,Flexible,2,0,0,18,1,1,630865,0.826,9.4,4.2,4,22,31,1,3,3,4,2.75,1,2,2,6,2,2,3,19,1,No,None,6,0,0.0757,0,No,1,0,17.4,0,0,0,0,9.5,2.6,0,0,0,0,0,0,0.11,1,0,0,1,1,0.1805,Medium
ML10037,46,Male,Married,Bachelor,P2B,5,Engineering,Pune,Day,0,0,0,25,0,2,869156,0.565,8.4,9.7,2,12,45,3,2,4,3,3.0,1,0,1,1,2,2,5,9,2,No,Frequent,7,0,0.5498,1,Yes,1,1,43.5,0,1,0,0,9.0,2.95,0,0,0,45,1,0,0.0,1,0,0,1,1,0.5979,Critical
ML10038,33,Male,Single,PhD,P1C,3,Product,Hyderabad,Day,11,6,6,12,1,1,676901,0.751,7.6,13.3,4,18,25,2,3,4,4,3.25,4,0,0,5,1,4,11,12,2,No,None,5,3,0.0502,0,No,1,1,24.9,0,4,0,0,1.09,3.1,0,0,6,0,0,1,0.92,1,0,0,0,1,0.1428,Low
ML10039,49,Male,Single,Master,P3A,7,Operations,Hyderabad,Rotational,3,2,1,29,1,2,1686885,1.05,3.4,6.7,4,4,25,4,3,3,4,3.5,1,0,0,5,2,2,7,12,3,No,None,7,2,0.0502,0,No,0,0,-5.0,0,1,0,0,4.0,3.65,0,0,8,0,0,0,0.1,1,1,0,0,1,0.0663,Low
ML10040,28,Female,Single,Bachelor,P2B,5,Engineering,Bengaluru,Day,3,0,0,6,2,1,1458415,0.866,7.0,7.4,3,9,49,3,4,4,4,3.75,2,0,1,6,1,4,7,12,2,Yes,Frequent,3,2,0.2392,0,No,1,0,13.4,1,2,0,0,4.0,3.65,0,0,6,49,0,0,0.5,0,0,0,0,2,0.3874,High
ML10041,45,Male,Single,Master,P4,9,Engineering,Hyderabad,Rotational,6,0,0,23,1,2,2567659,0.742,11.1,10.7,1,12,3,2,3,4,1,2.5,3,0,0,3,3,4,7,15,1,No,Rare,2,0,0.5498,0,No,1,1,25.8,0,3,1,0,2.5,2.2,0,0,0,0,0,0,0.26,0,1,0,0,3,0.5221,Critical
ML10042,43,Female,Married,Diploma,P3B,8,Sales,Pune,Day,3,2,0,22,2,1,2195568,1.048,7.6,10.6,3,14,17,1,3,3,4,2.75,3,0,1,1,1,1,2,19,6,No,Rare,3,2,0.0502,0,No,0,0,-4.8,1,3,0,0,6.33,2.6,0,0,2,0,0,0,0.14,0,0,0,1,0,0.1075,Low
ML10043,33,Male,Married,Bachelor,P2A,4,Sales,Pune,Night,0,0,0,11,3,0,1119482,1.145,10.9,9.7,2,10,40,3,3,2,3,2.75,3,0,2,1,1,2,8,17,2,Yes,Frequent,3,2,0.5498,1,Yes,0,0,-14.5,6,3,0,0,17.0,2.85,0,0,6,40,1,0,0.0,0,1,0,1,3,0.4965,Critical
ML10044,22,Male,Single,Bachelor,P4,9,Engineering,Mumbai,Night,0,0,0,0,8,0,2464211,0.623,7.6,11.9,3,11,27,2,4,4,1,2.75,3,2,1,6,3,3,3,15,2,No,None,4,0,0.5498,1,Yes,1,1,37.7,16,1,1,0,15.0,2.4,0,0,0,0,1,0,0.0,1,1,0,0,4,0.8232,Critical
ML10045,25,Female,Divorced,PhD,P4,9,Infra,Hyderabad,Flexible,2,0,0,5,1,1,2259916,0.822,10.9,5.5,4,7,4,1,3,3,3,2.5,3,0,1,1,2,5,6,13,3,No,Rare,7,0,0.1662,0,No,1,0,17.8,0,3,0,0,6.5,2.3,0,0,0,0,0,0,0.4,1,0,0,0,1,0.1532,Low
ML10046,22,Female,Single,Bachelor,P2A,4,Engineering,Pune,Day,12,7,3,1,8,0,1167580,0.93,6.4,17.6,5,6,28,2,2,1,4,2.25,2,0,0,4,2,5,5,12,0,No,Rare,2,0,0.375,0,No,0,0,7.0,16,2,0,0,1.0,2.45,0,0,0,0,0,1,12.0,0,0,0,0,1,0.2475,Medium
ML10047,38,Male,Married,Master,P2A,4,Product,Mumbai,Day,4,4,1,17,1,1,1199686,0.927,4.2,8.5,5,18,39,3,4,3,3,3.25,2,1,1,1,2,2,8,18,3,No,Rare,2,2,0.0502,0,No,0,0,7.3,0,1,0,0,4.5,3.2,0,0,6,0,0,0,0.24,0,0,0,1,0,0.0813,Low
ML10048,37,Male,Divorced,Bachelor,P3A,7,Engineering,WFH,Rotational,1,1,0,17,1,1,2108403,1.13,12.4,18.4,2,16,23,2,4,3,4,3.25,2,0,1,0,3,4,4,18,1,No,Frequent,4,5,0.0822,0,No,0,0,-13.0,0,2,1,0,18.0,3.15,0,0,10,23,1,0,0.06,1,1,1,0,2,0.1695,Low
ML10049,34,Female,Married,Master,P1B,2,Infra,Pune,Flexible,0,0,0,12,3,0,616812,0.977,4.5,0.0,1,22,48,3,3,3,4,3.25,3,3,2,6,1,2,9,13,4,No,Rare,0,1,0.1566,0,No,0,0,2.3,6,0,0,0,13.0,3.3,0,0,3,0,1,0,0.0,0,0,0,1,1,0.2001,Medium
ML10050,33,Male,Single,Bachelor,P1C,3,Engineering,Bengaluru,Flexible,5,3,0,13,12,0,709681,0.649,6.1,1.5,2,24,38,3,4,3,3,3.25,2,0,0,1,0,4,5,13,1,Yes,Rare,0,0,0.5498,0,No,1,1,35.1,20,2,0,0,2.6,3.2,0,0,0,0,0,0,0.38,0,0,0,0,3,0.6721,Critical
ML10051,44,Female,Divorced,Bachelor,P1A,1,Sales,Bengaluru,Flexible,3,1,1,23,2,0,416854,0.795,9.0,9.6,5,21,46,1,3,2,3,2.25,3,1,0,5,0,2,5,16,5,No,None,3,0,0.5498,0,No,1,1,20.5,4,2,0,0,5.33,2.15,0,0,0,0,0,0,0.13,0,0,0,0,1,0.2233,Medium
ML10052,36,Female,Married,Diploma,P3B,8,HR,Pune,Night,8,8,7,15,0,1,1945469,1.003,1.7,15.0,3,10,14,3,4,3,4,3.5,2,0,3,6,1,6,9,12,3,No,Frequent,3,0,0.0502,1,Yes,0,0,-0.3,0,2,0,0,1.5,3.5,0,0,0,14,0,0,0.53,0,1,0,1,1,0.0732,Low
ML10053,29,Male,Single,Master,P3A,7,Engineering,Mumbai,Night,2,0,0,8,3,0,1468114,0.59,6.6,11.2,3,23,35,3,2,4,1,2.5,4,0,0,0,0,3,8,19,1,No,Rare,3,1,0.5498,0,No,1,1,41.0,6,4,0,0,9.5,2.35,0,0,3,0,0,0,0.25,0,1,0,0,3,0.7084,Critical
ML10054,35,Female,Single,Bachelor,P3B,8,Product,Chennai,Flexible,8,7,0,15,4,0,1835468,0.771,6.3,9.5,3,21,46,3,2,4,4,3.25,4,2,0,4,1,1,13,13,0,No,Rare,7,0,0.1614,0,No,1,1,22.9,8,2,0,0,1.62,3.25,0,0,0,0,0,0,0.53,1,0,0,0,2,0.299,Medium
ML10055,50,Male,Divorced,Master,P3B,8,Sales,Bengaluru,Flexible,3,1,0,30,3,1,2586663,1.127,7.8,11.4,4,14,52,3,3,4,1,2.75,4,0,2,0,2,2,6,14,1,No,Rare,3,1,0.0502,0,No,0,0,-12.7,3,4,0,0,4.67,2.55,0,0,3,0,0,0,0.1,0,0,0,0,0,0.0827,Low
ML10056,38,Female,Single,Master,P2B,5,HR,Bengaluru,Rotational,0,0,0,16,0,2,1007169,0.829,8.0,9.9,3,22,47,4,3,3,3,3.25,3,2,3,4,0,5,8,14,0,No,Rare,6,0,0.0908,0,No,1,0,17.1,0,1,0,0,14.0,3.35,0,0,0,0,1,0,0.0,1,1,0,0,2,0.1492,Low
ML10057,30,Other,Married,Bachelor,P2C,6,HR,Mumbai,Rotational,5,5,3,8,1,1,1289425,0.842,7.0,19.8,5,8,53,3,1,3,2,2.25,4,0,2,0,0,3,9,12,0,No,Frequent,4,3,0.1608,0,No,1,0,15.8,0,4,0,0,2.4,2.3,0,0,9,53,0,0,0.62,1,1,0,1,2,0.3633,High
ML10058,33,Female,Single,Master,P1B,2,Marketing,Pune,Flexible,5,5,2,13,12,0,692621,1.086,8.2,7.4,4,22,2,1,1,3,4,2.25,3,2,3,6,1,2,3,9,1,No,Rare,6,2,0.1811,0,No,0,0,-8.6,20,1,0,0,1.8,2.2,0,0,2,0,0,0,0.38,1,0,0,0,1,0.272,Medium
ML10059,37,Other,Single,Other,P1B,2,Engineering,WFH,Day,6,5,5,16,3,0,590207,0.867,14.7,16.4,4,22,19,4,3,3,4,3.5,4,0,3,0,1,2,4,6,2,Yes,Rare,1,5,0.0972,0,No,1,0,13.3,6,4,0,0,1.0,3.65,0,0,20,0,0,0,0.38,0,0,1,0,3,0.1499,Low
ML10060,30,Female,Married,Bachelor,P3A,7,Engineering,Delhi,Day,8,7,7,10,0,1,1574402,0.678,18.3,6.3,2,4,53,4,3,4,2,3.25,3,1,0,1,1,1,4,17,0,No,Rare,5,0,0.1052,0,No,1,1,32.2,0,2,0,0,2.12,3.2,0,0,0,0,0,0,0.8,1,0,0,1,1,0.2267,Medium
ML10061,29,Male,Divorced,Diploma,P2B,5,Engineering,Hyderabad,Flexible,3,1,0,7,8,0,1315299,0.856,10.9,8.5,4,4,46,4,1,2,3,2.5,2,1,0,6,0,2,8,12,0,Yes,None,6,2,0.5498,0,No,1,0,14.4,16,1,0,0,4.0,2.8,0,0,8,0,0,0,0.43,1,0,0,0,3,0.4147,High
ML10062,33,Male,Single,Master,P2C,6,Sales,Chennai,Night,7,3,1,12,0,2,1354817,0.955,7.6,5.1,5,20,57,2,3,4,1,2.5,3,1,1,1,1,1,10,10,2,No,Rare,0,0,0.3948,0,No,0,0,4.5,0,2,0,0,1.43,2.2,0,0,0,0,0,0,0.58,0,1,0,0,1,0.2079,Medium
ML10063,46,Male,Single,Bachelor,P3B,8,Engineering,Bengaluru,Day,4,2,1,24,3,0,2376338,0.807,5.3,14.3,2,9,21,3,2,3,4,3.0,4,0,0,0,1,7,15,22,4,No,None,7,2,0.2371,1,Yes,1,0,19.3,6,4,0,0,5.5,3.1,0,0,6,0,0,0,0.17,1,0,0,0,2,0.2462,Medium
ML10064,40,Male,Married,Master,P3A,7,QA,Hyderabad,Night,6,1,1,20,0,2,1905621,1.017,6.0,16.1,5,16,32,4,2,4,4,3.5,3,1,0,1,2,5,8,11,1,Yes,Rare,4,0,0.0502,0,No,0,0,-1.7,0,2,0,0,1.83,3.6,0,0,0,0,0,0,0.3,1,1,0,1,2,0.0951,Low
ML10065,30,Female,Married,Bachelor,P2C,6,HR,WFH,Rotational,0,0,0,10,0,1,1330032,1.158,8.0,9.1,3,22,54,4,4,1,3,3.0,3,0,1,5,1,3,8,16,0,No,None,6,5,0.0502,0,No,0,0,-15.8,0,3,0,0,16.0,3.25,0,0,20,0,1,0,0.0,1,1,1,1,1,0.0555,Low
ML10066,40,Male,Married,PhD,P2C,6,Marketing,Mumbai,Rotational,9,1,0,19,4,0,1382939,0.811,13.4,12.7,4,14,24,3,1,4,2,2.5,3,0,1,3,0,5,11,11,1,No,Frequent,1,1,0.5498,1,Yes,1,0,18.9,8,3,0,0,1.22,2.45,0,0,3,24,0,0,0.47,0,1,0,1,3,0.3927,High
ML10067,34,Female,Single,Master,P2A,4,Sales,WFH,Rotational,0,0,0,12,0,2,967695,1.155,4.8,10.6,4,17,11,4,3,3,3,3.25,3,1,1,1,0,2,7,17,1,Yes,Rare,4,5,0.1024,0,No,0,0,-15.5,0,2,0,0,17.0,3.35,0,0,20,0,1,0,0.0,1,1,1,0,2,0.1193,Low
ML10068,36,Male,Divorced,Bachelor,P1A,1,Sales,Bengaluru,Day,2,2,2,16,3,1,387302,0.739,10.3,13.0,4,5,22,3,3,1,4,2.75,3,0,1,2,3,3,10,12,1,No,Frequent,7,3,0.3662,1,Yes,1,1,26.1,3,3,1,0,6.0,3.0,0,0,9,22,0,0,0.12,1,0,0,0,2,0.2258,Medium
ML10069,36,Male,Single,Bachelor,P2B,5,Finance,Bengaluru,Day,0,0,0,14,1,2,1073665,0.677,6.8,15.9,3,21,56,1,4,3,4,3.0,4,1,2,0,0,9,9,27,2,No,Frequent,3,0,0.5498,1,Yes,1,1,32.3,0,3,0,1,27.0,2.8,0,0,0,56,1,0,0.0,0,0,0,0,1,0.5655,Critical
ML10070,22,Male,Single,Bachelor,P1C,3,Sales,Hyderabad,Day,3,2,2,0,1,1,865665,1.113,12.7,4.3,4,12,24,4,1,3,3,2.75,3,4,4,2,1,1,8,11,0,No,None,6,1,0.0502,0,No,0,0,-11.3,0,0,0,0,3.67,2.95,0,0,4,0,0,0,3.0,1,0,0,0,0,0.0668,Low
